"@xml:id"	"Map"	"Election / Signing Date"	"Election Type"	"Parliament"	"Province / Treaty #"	"Riding / Place of Negotiation "	"Place of Signing"	"Last Name"	"First Name"	"Middle Name (s)"	"Occupation"	"Party"	"Votes"	"Votes (%)"	"Elected"	"Treaty Signatories"	"Latitude / Longitude"	"Comments"
"ACAD"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"ACADIA"		"QUELCH"	"Victor"		"farmer"	"Social Credit Party of Canada"	5556	51.9	1		"51.52925, -111.20361"	
"ACAD"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"ACADIA"		"HELMER"	"Lawrence"	"Edgar"	"farmer"	"Liberal"	2035	19.01	0		"51.52925, -111.20361"	
"ACAD"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"ACADIA"		"SUTHERLAND"	"John"	"Kenneth"	"farmer"	"Co-operative Commonwealth Federation"	1903	17.78	0		"51.52925, -111.20361"	
"ACAD"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"ACADIA"		"WILLIAMS"	"John"	"Albert"	"farmer"	"Progressive Conservative"	1211	11.31	0		"51.52925, -111.20361"	
"ATHA"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"ATHABASKA"		"DECHENE"	"Joseph"	"Miville"	"agent"	"Liberal"	5301	35.77	1		"54.70727, -113.27867"	
"ATHA"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"ATHABASKA"		"HICKOX"	"Arthur"	"Bruce"	"farmer"	"Social Credit Party of Canada"	4823	32.55	0		"54.70727, -113.27867"	
"ATHA"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"ATHABASKA"		"WAGNER"	"John"	"Mandius"	"farmer"	"Co-operative Commonwealth Federation"	1756	11.85	0		"54.70727, -113.27867"	
"ATHA"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"ATHABASKA"		"FERNEYHOUGH"	"Beatrice"		"secretary"	"Labour Progressive Party"	1564	10.55	0		"54.70727, -113.27867"	
"ATHA"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"ATHABASKA"		"SHOPLAND"	"Robert"	"Wilson"	"active service"	"Progressive Conservative"	1375	9.28	0		"54.70727, -113.27867"	
"BATT"	"Use post 1905 folder / map (ex. 1932, 1945)"	"6/11/1945"	"Gen"	20	"Alberta"	"BATTLE RIVER"		"FAIR"	"Robert"		"farmer"	"Social Credit Party of Canada"	6250	47.98	1		"53.15335, -110.87402"	
